tstamp,cuisine,critical_flag,borough
2020-01-22,Pizza,Not Criticaaal,Brooklyn
2020-01-15,Asian,Critical,Bronx
2020-01-31,Pizza,Not Critical,Brooklyn
2020-01-17,Latin/Caribbean,Not Critical,Brooklyn
2020-01-21,American,Not Critical,Manhattan
2020-01-15,Pizza,Critttical,Queens
2020-01-27,Asian,Critttical,Queens
2020-01-30,Asian,Not Critical,Brooklyn
2020-01-22,American,Not Critical,Manhattan
2020-01-00,Asian,Critical,Manhattan
2020-01-15,American,Critical,Brooklyn
2020-01-16,International,Critical,Manhattan
2020-01-13,American,Not Critical,Staten Island
2020-01-13,American,Not Critical,Staten Island
2020-01-30,American,Not Critical,Manhattan
2020-01-09,Specialty,Not Critical,Manhattan
2020-01-14,Mediterranean,Critical,Manhattan
2020-01-31,Italian,Critical,Brooklyn
2020-01-03,Bakery Products/Desserts,Critical,Manhattan
2020-01-15,Bakery,Critical,Manhattan
2020-01-27,Mexican,Not Critical,Brooklyn
2020-01-02,Asian,Not Critical,Bronx
2020-01-15,Latin/Caribbean,Critical,Queens
2020-01-06,Italian,Not Critical,Manhattan
2020-01-07,Latin/Caribbean,Critttical,Manhattan
2020-01-08,Asian,Not Critical,Queens
2020-01-03,Asian,Not Critical,Manhattan
2020-01-27,Soups & Sandwiches,Not Critical,Brooklyn
2020-01-06,Asian/Asian Fusion,Not Critical,Manhattan
2020-01-22,Asian,Critical,Brooklyn
2020-01-13,Coffee/Tea,Critical,Brooklyn
2020-01-10,Specialty,Critical,Brooklyn
2020-01-07,American,Not Critical,Brooklyn
2020-01-28,Specialty,Critical,Brooklyn
2020-01-13,American,Not Critical,Manhattan
2020-01-27,Specialty,Not Critical,Queens
2020-01-27,Specialty,Not Critical,Queens
2020-01-13,Coffee/Tea,Not Applicable,Manhattan
2020-01-23,Mediterranean,Not Critical,Manhattan
2020-01-23,Asian,Critical,Brooklyn
2020-01-13,Specialty,Critical,Manhattan
2020-01-15,Latin/Caribbean,Not Critical,Brooklyn
2020-01-29,African,Not Critical,Manhattan
2020-01-29,African,Not Critical,Manhattan
2020-01-13,Pizza,Critical,Brooklyn
2020-01-15,Mediterranean,Critical,Manhattan
2020-01-29,Asian,Not Critical,Queens
2020-01-06,American,Critical,Manhattan
2020-01-27,Specialty,Not Critical,Brooklyn
